request_id,client_id,tenant_id,slo_class,vllm_priority,session_id,round_index,prefix_group,prefix_length,streaming,input_tokens,output_tokens,text_tokens,image_tokens,audio_tokens,video_tokens,reason_ratio,model,deadline_us,server_input_tokens,arrival_time_us,send_time_us,first_chunk_time_us,last_chunk_time_us,num_chunks,status,error_message,finish_reason
203,sheddable,,sheddable,6,,0,,0,true,912,142,0,0,0,0,0,,0,916,39708425,1780944978651138,1780944978721745,1780944981155072,143,ok,,length
206,sheddable,,sheddable,6,,0,,0,true,1218,191,0,0,0,0,0,,0,1230,40079478,1780944979022208,1780944979132553,1780944982443176,192,ok,,length
202,critical,,critical,0,,0,,0,true,1485,236,0,0,0,0,0,,0,1463,39513502,1780944978456064,1780944978556319,1780944982667854,237,ok,,length
201,sheddable,,sheddable,6,,0,,0,true,1029,264,0,0,0,0,0,,0,1015,39415681,1780944978357715,1780944978444597,1780944983075402,265,ok,,length
200,critical,,critical,0,,0,,0,true,535,284,0,0,0,0,0,,0,524,39325282,1780944978267974,1780944978376726,1780944983393252,285,ok,,length
214,sheddable,,sheddable,6,,0,,0,true,654,141,0,0,0,0,0,,0,679,42076762,1780944981019421,1780944981094750,1780944983526303,142,ok,,length
207,sheddable,,sheddable,6,,0,,0,true,758,246,0,0,0,0,0,,0,780,40608402,1780944979550864,1780944979619644,1780944983841698,247,ok,,length
205,sheddable,,sheddable,6,,0,,0,true,840,303,0,0,0,0,0,,0,847,40046426,1780944978988625,1780944979059951,1780944984261310,304,ok,,length
211,critical,,critical,0,,0,,0,true,1141,220,0,0,0,0,0,,0,1107,41475349,1780944980417950,1780944980508343,1780944984291636,221,ok,,length
212,critical,,critical,0,,0,,0,true,1229,232,0,0,0,0,0,,0,1239,41568157,1780944980510715,1780944980597593,1780944984511304,233,ok,,length
204,critical,,critical,0,,0,,0,true,865,335,0,0,0,0,0,,0,847,39871754,1780944978813993,1780944978882931,1780944984584219,336,ok,,length
208,sheddable,,sheddable,6,,0,,0,true,902,293,0,0,0,0,0,,0,890,40859557,1780944979802421,1780944979870363,1780944984868772,294,ok,,length
209,critical,,critical,0,,0,,0,true,637,284,0,0,0,0,0,,0,651,41059816,1780944980002404,1780944980088320,1780944984928012,285,ok,,length
213,sheddable,,sheddable,6,,0,,0,true,709,269,0,0,0,0,0,,0,697,41627583,1780944980570213,1780944980649075,1780944985172556,270,ok,,length
218,sheddable,,sheddable,6,,0,,0,true,1285,227,0,0,0,0,0,,0,1296,42640359,1780944981583238,1780944981749733,1780944985509845,228,ok,,length
210,critical,,critical,0,,0,,0,true,639,344,0,0,0,0,0,,0,669,41289371,1780944980231935,1780944980303813,1780944986214343,345,ok,,length
