,,e2e_mean,e2e_mean,e2e_mean,e2e_mean,e2e_mean,e2e_mean,e2e_p95,e2e_p95,e2e_p95,e2e_p95,e2e_p95,e2e_p95,e2e_p99,e2e_p99,e2e_p99,e2e_p99,e2e_p99,e2e_p99,tpot_mean,tpot_mean,tpot_mean,tpot_mean,tpot_mean,tpot_mean,tpot_p95,tpot_p95,tpot_p95,tpot_p95,tpot_p95,tpot_p95,ttft_mean,ttft_mean,ttft_mean,ttft_mean,ttft_mean,ttft_mean,ttft_p95,ttft_p95,ttft_p95,ttft_p95,ttft_p95,ttft_p95,ttft_p99,ttft_p99,ttft_p99,ttft_p99,ttft_p99,ttft_p99
execution,,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3
workload,slo_class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balanced_5,critical,1.1,109.53940352422978,4781.51084493392,4725.933346255506,4783.12643876652,4835.472749779736,1.6,207.5625999999993,6603.999866666666,6511.1589,6582.1192,6718.7215,1.8,264.28244000000086,7548.633106666671,7437.872240000004,7505.872400000004,7702.154680000005,1.2,0.43748253793967606,18.481715386634235,18.264043548798096,18.479576524366834,18.701526086737772,1.7,0.7160111543601708,20.705954479368284,20.344786734715576,20.712278814313525,21.060797889075747,2.2,4.118596475770914,93.82830543318649,93.8492731277533,95.87711982378853,91.75852334801762,1.5,3.869799999999998,147.6385,146.40049999999997,150.1924,146.3226,2.7,9.25394,172.41263333333336,173.18612000000005,176.65286000000003,167.39892000000003
balanced_5,sheddable,1.2,112.840268669529,4789.1224128755375,4732.772474678111,4788.982020600859,4845.61274334764,1.6,219.6981999999989,6815.397266666667,6707.5887999999995,6811.316,6927.286999999998,1.1,165.71647999999823,7645.410453333331,7555.72488,7659.0651199999975,7721.441359999998,1.3,0.4619898930581243,18.485488928416903,18.259480879850976,18.47551513249064,18.7214707729091,1.8,0.7396151722243651,20.73029007587685,20.388327980230414,20.674599094945357,21.12794315245478,2.3,4.378925321888417,95.05483175965666,95.47552875536482,97.03394592274678,92.65502060085836,0.4,1.277799999999985,150.44279999999998,149.92139999999998,151.19919999999996,150.20779999999996,3.2,12.446359999999544,195.8137866666663,196.7929199999998,201.5473999999993,189.10103999999976
balanced_8,critical,0.6,72.2755322322846,6270.652523352869,6307.41600213106,6235.140469898775,6269.40109802877,0.5,95.30679999999666,9167.833266666663,9222.096399999995,9126.789599999998,9154.613799999996,0.8,183.20899999999892,10781.582733333335,10872.60316,10689.394160000002,10782.75088,0.5,0.2605472615406832,24.109582944178385,24.24212300916297,23.981575747622287,24.105050075749908,0.8,0.4567609142409097,30.386740794688887,30.682564736511356,30.225803822270446,30.251853825284847,2.2,5.204853489611082,119.94601349671461,122.51806126798083,117.31320777836974,120.00677144379328,1.7,5.846800000000229,200.5090666666666,202.463,196.61619999999976,202.44799999999992,6.7,33.10935999999998,261.50782666666663,281.41236,248.303,254.80812
balanced_8,sheddable,0.6,71.0194123764968,6246.00979268504,6282.204761310453,6211.185348933956,6244.639267810713,0.5,88.32920000000195,9214.392999999998,9269.2054,9180.876199999999,9193.0974,0.7,157.34391999999934,10788.770093333333,10860.795639999998,10703.45172,10802.062919999998,0.5,0.2534937840305531,24.165252884773537,24.29501606838671,24.041522284356155,24.15922030157775,0.8,0.4294687197604361,30.918816980284237,31.191066428541138,30.803786803530876,30.7615977087807,2.9,7.163763910556426,122.33572300225342,125.97052522100884,118.80676131045242,122.22988247529902,2.3,9.435799999999858,204.61296666666658,209.55309999999986,200.1173,204.16849999999994,3.9,21.501360000000034,277.7228,288.98414,267.48278,276.70148
balanced_10,critical,1.2,199.08237332214776,8481.774228187918,8380.819994127516,8484.600322986576,8579.902367449664,1.1,263.32424999999967,13065.306483333332,12963.20695,13006.181299999997,13226.5312,0.8,247.0006799999992,15472.127200000004,15478.828660000012,15345.276130000002,15592.276810000001,1.5,0.9434191063948347,32.54675310960859,32.03621406865083,32.62441208512928,32.97963317504566,2.1,1.8598577264095297,45.69070032388851,44.60627316666666,45.99969691192266,46.46613089307619,14.5,45.19006921140942,170.37330131431767,198.69267994966444,153.50261073825502,158.9246132550336,30.6,189.99364999999915,347.03371666666635,469.3678499999991,279.3742,292.3590999999999,88.5,1251.5726800000016,808.4102066666675,1634.8545200000017,383.28184000000005,407.09426000000065
balanced_10,sheddable,1.2,202.85070653973344,8423.670264486755,8322.065269039736,8424.029548841057,8524.91597557947,1.0,263.5044999999991,13201.958833333332,13080.47875,13181.414499999999,13343.98325,1.5,472.45010000000184,15664.786933333331,15414.439049999997,15693.032599999999,15886.889149999999,1.5,0.9545608782974,32.52100994964372,32.00010330039577,32.60826236984223,32.95466417869317,1.6,1.4155318998666147,45.795116947004345,44.973270831188884,46.02327727876865,46.3888027310555,15.0,50.19131415562913,175.5863722406181,205.25045778145696,155.05914362582783,166.44951531456954,37.3,243.29975000000007,361.37041666666664,516.6772500000001,273.3775,294.0565,87.8,1303.91225,835.8082333333332,1682.0194,378.1071499999998,447.29814999999945
balanced_15,critical,2.6,1467.4972149211062,30267.647936527766,30855.075808370046,29387.57859344894,30560.289407764318,3.7,3101.9756500000076,42407.984783333326,43804.15445,40702.178799999994,42717.6211,3.6,3023.9987600000095,47630.661453333334,48519.24368000001,45674.37095999999,48698.36972,0.5,0.6624657820928803,71.82336161298021,71.54058403827472,71.72645098029834,72.2030498203676,0.6,0.8498727815450451,79.89458932808041,79.38482085001756,80.2346936315626,80.06425350266107,6.4,1501.3988685827462,11952.40121588725,12612.730561123348,11111.331692540602,12133.141393997797,8.6,3701.9038,21623.273533333333,23403.4852,19701.5814,21764.754,6.0,2802.995279999999,24855.299003333334,25960.8874,23157.89212,25447.117490000004
balanced_15,sheddable,3.0,6422.506913029007,106909.63384155282,103375.34292253139,107555.70876656668,109797.8498355604,1.9,6366.8843500000075,173587.89701666668,170909.22125,172578.36419999998,177276.1056,2.1,6710.904979999992,180414.18956,178523.1347,178004.26450000002,184715.16948,0.8,1.0213681261756022,67.09447168772728,66.84528768742015,66.70837962479305,67.72974775096866,0.4,0.6265872062328413,75.44682626162324,75.38542225911975,75.16423465975858,75.79082186599142,3.5,6199.426657906428,89769.37608721545,86304.26645717402,90500.16868939187,92503.69311508044,2.0,5802.899049999978,155317.97745,152944.47275000002,154262.0878,158747.3718,2.6,7995.556039999996,159425.55518999998,158293.76984999998,155993.66984,163989.22587999998
