,,e2e_mean,e2e_mean,e2e_mean,e2e_mean,e2e_mean,e2e_mean,e2e_p95,e2e_p95,e2e_p95,e2e_p95,e2e_p95,e2e_p95,e2e_p99,e2e_p99,e2e_p99,e2e_p99,e2e_p99,e2e_p99,tpot_mean,tpot_mean,tpot_mean,tpot_mean,tpot_mean,tpot_mean,tpot_p95,tpot_p95,tpot_p95,tpot_p95,tpot_p95,tpot_p95,ttft_mean,ttft_mean,ttft_mean,ttft_mean,ttft_mean,ttft_mean,ttft_p95,ttft_p95,ttft_p95,ttft_p95,ttft_p95,ttft_p95,ttft_p99,ttft_p99,ttft_p99,ttft_p99,ttft_p99,ttft_p99
execution,,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3,cv%,max-min,mean(R1-3),results.1,results.2,results.3
workload,slo_class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balanced_5,critical,1.2,106.34181321585856,4743.3904831130685,4760.623227312775,4681.603204405286,4787.945017621145,1.3,160.96299999999974,6548.4536,6566.9021999999995,6458.7478,6619.7108,1.4,206.8461200000056,7493.316406666672,7468.024260000001,7402.539420000005,7609.38554000001,1.0,0.3422430255497808,18.306603623989854,18.398007896263668,18.089779975078052,18.432023000627833,1.2,0.4319236824784731,20.448458921757304,20.59343457440294,20.16151089192447,20.590431298944498,10.9,19.319108370044063,100.32973773861967,94.37901938325992,93.64554273127753,112.96465110132159,3.9,10.93380000000002,149.48793333333333,147.2026,145.16369999999998,156.0975,99.0,695.6670399999999,404.56937333333354,174.9652800000003,171.5379000000003,867.2049400000002
balanced_5,sheddable,1.2,107.63160772532137,4751.193505579399,4768.599812017167,4688.674548497855,4796.306156223176,1.3,174.17719999999827,6747.543133333333,6774.3194,6647.066400000001,6821.243599999999,1.6,250.35643999999866,7607.41581333333,7601.398759999999,7485.246119999998,7735.602559999997,1.0,0.34350525050888336,18.304724969705152,18.398087014425236,18.086291322090666,18.42979657259955,1.2,0.4557289808160476,20.49946590401203,20.605136208125444,20.2187662615473,20.67449524236335,11.5,20.646446351931317,102.1568200286123,95.7607364806867,95.03163862660944,115.67808497854075,7.7,21.022000000000048,154.3237333333333,148.10039999999998,146.92439999999996,167.9464,105.6,901.9129199999926,490.3183066666641,196.04703999999998,186.4974799999999,1088.4103999999925
balanced_8,critical,5.8,677.5605769845497,6479.046505238856,6289.521834842834,6235.028551944592,6912.589128929142,7.8,1335.9702000000016,9591.170799999998,9199.653799999996,9118.944199999998,10454.9144,9.9,2051.40928,11466.933826666667,10892.21084,10728.590680000001,12779.999960000001,5.8,2.5932894028501323,24.91377805415301,24.186222495198056,23.98091113220542,26.574200535055553,9.9,5.814951645032487,32.399284775309646,30.791453015495854,30.2957248327003,36.11067647773279,6.9,15.88193766648908,123.42148179719409,119.87464198188599,117.25393287160361,133.1358705380927,11.2,45.185400000000016,213.02526666666662,203.8748,195.00779999999995,240.19319999999996,14.3,72.37484000000009,277.38536000000005,258.675,250.55312,322.9279600000001
balanced_8,sheddable,5.8,678.679674987,6454.269189807593,6263.574612064483,6210.276641185646,6888.956316172646,8.7,1535.4373999999953,9726.608399999997,9304.971199999998,9169.7083,10705.145699999995,10.4,2103.9407600000013,11491.390399999998,10830.42052,10769.904959999998,12873.84572,5.8,2.6101840733258364,24.97442251984803,24.2409536041741,24.036064941022076,26.646249014347912,9.9,5.858047154565217,32.95759438297941,31.32810971698113,30.843313138695937,36.70136029326115,7.2,16.4805044201768,125.73632102617437,121.38540197607904,119.67152834113364,136.15203276131044,9.6,36.254500000000036,214.45989999999992,203.13779999999997,201.9936999999999,238.24819999999994,10.8,59.77055999999999,289.1954,278.98443999999995,264.4156,324.18616
balanced_10,critical,1.0,168.4358640939572,8394.878946308725,8314.027996224833,8388.14498238255,8482.46386031879,1.3,328.94104999999945,12832.428083333332,12692.027549999999,12784.2881,13020.968599999998,0.7,223.24177000000054,15018.910990000002,14910.42727,15012.636660000004,15133.66904,0.9,0.594145817020415,32.25888133808278,31.965839219071295,32.25081975908533,32.55998503609171,0.9,0.8233963740280217,44.93266121708649,44.563052346249556,44.848482584732345,45.38644872027758,6.0,16.78875167785236,157.12823531879192,151.27483095637584,152.04629236577182,168.0635826342282,5.8,29.86015000000009,294.7001833333333,284.7095999999999,284.8212,314.56975,18.2,139.64161000000013,440.3033966666667,392.95209,395.36440000000005,532.5937000000001
balanced_10,sheddable,1.0,167.8914950331109,8345.500490618102,8262.591201986756,8343.427572847682,8430.482697019866,1.1,287.10525000000234,12914.38375,12749.264749999998,12957.516500000002,13036.37,1.5,446.08040000000074,15469.681916666663,15207.790449999999,15547.384449999994,15653.87085,0.9,0.5750004973064655,32.22028213653875,31.93135882638388,32.22312825954201,32.50635932369035,0.9,0.8039770209767099,45.04004962794412,44.65591357148059,45.004344719894476,45.4598905924573,7.0,23.611966887417225,173.96534699227377,163.86307740066226,170.55791928807946,187.4750442880795,11.5,78.30500000000006,350.6544999999999,316.69575,340.267,395.00075000000004,28.6,461.6752999999992,827.3367999999991,625.7846499999996,768.7657999999991,1087.4599499999988
balanced_15,critical,5.2,2105.5256493256275,20320.767532158916,20510.46100715662,21278.683619322874,19173.157969997246,8.0,5144.675800000012,32293.67846666666,32085.703999999998,34970.0036,29825.327799999985,9.9,7625.524639999989,39070.83802666666,38357.195999999974,43240.421359999986,35614.89672,1.9,2.2675320988349696,60.05789372319443,60.27382678676916,61.083693240824545,58.816161141989575,2.0,2.7731945327812326,70.70822529778825,71.06962642614599,71.91412199999999,69.14092746721876,15.7,1530.0539325626196,4951.254629874301,5093.999344343518,5644.909238921002,4114.855306358382,17.2,4912.0623999999825,14730.838799999989,14018.744399999998,17542.917199999974,12630.854799999992,18.2,6785.781720000001,18645.95181333333,18487.393239999994,22118.12196,15332.34024
balanced_15,sheddable,1.8,4379.263431688043,127963.23853495135,125476.8248475593,128556.80247804744,129856.08827924734,1.5,5114.386000000028,195427.38086666664,192129.6327,197244.01870000002,196908.4912,1.6,6660.440659999993,204747.94418666666,201235.56660000002,207896.00726,205112.25870000003,2.4,2.943862805332188,61.051858131101596,60.903677267756,62.59787996544049,59.6540171601083,3.6,5.215597634909955,75.21242910283623,74.52754268363216,78.16267112989324,72.94707349498329,2.1,4659.6440477229335,112416.4360673575,109972.30223425143,112645.05968584673,114631.94628197436,1.7,5762.263000000006,179527.46046666664,176080.58839999998,180658.9416,181842.85139999999,1.6,5391.778920000012,186154.83550666668,182852.7977,188244.57662,187367.13220000002
