arm,workload,slo_class,pair,n1,n2,ks_D,ks_p,mean_pct_delta,median_pct_delta,cohens_d,supports_H1
baseline,balanced_5,critical,results.1 vs results.2,1135,1135,0.12070484581497798,1.273315321855545e-07,4.925802126943022,5.401512423478573,0.17360838412385135,False
baseline,balanced_5,critical,results.1 vs results.3,1135,1135,0.1303964757709251,7.934667029870727e-09,6.2104197023008885,6.133717440883447,0.21533069292873255,False
baseline,balanced_5,critical,results.2 vs results.3,1135,1135,0.02907488986784141,0.723705681379251,1.2243104644591516,0.6946816991231061,0.0448029295166495,True
baseline,balanced_5,sheddable,results.1 vs results.2,1165,1165,0.12532188841201716,2.1739536333670388e-08,5.448346805243355,4.445160443442039,0.17482651883465147,False
baseline,balanced_5,sheddable,results.1 vs results.3,1165,1165,0.15278969957081545,2.8083371677399066e-12,6.484772548036581,5.719638659172534,0.206778127325974,False
baseline,balanced_5,sheddable,results.2 vs results.3,1165,1165,0.03175965665236052,0.5996497109964405,0.9828752884172204,1.2202367350669505,0.03316624138349239,True
baseline,balanced_8,critical,results.1 vs results.2,1877,1877,0.020245071923281833,0.8365888592035851,-0.3940970775857729,0.5934945341067951,-0.011170623676138755,True
baseline,balanced_8,critical,results.1 vs results.3,1877,1877,0.021310602024507193,0.7877307798455111,13.274018028154428,1.2003905576934168,0.1461638235473511,False
baseline,balanced_8,critical,results.2 vs results.3,1877,1877,0.02930207778369739,0.3960447048589454,13.722193870765542,0.6033153797841772,0.1509292557727412,False
baseline,balanced_8,sheddable,results.1 vs results.2,1923,1923,0.01612064482579303,0.9641019822326331,-0.21421598770761147,-0.390574504625955,-0.005951552691128699,True
baseline,balanced_8,sheddable,results.1 vs results.3,1923,1923,0.024440977639105563,0.6140684959297104,13.320948909082789,0.5013757825340179,0.14901134830202425,False
baseline,balanced_8,sheddable,results.2 vs results.3,1923,1923,0.024440977639105563,0.6140684959297104,13.564221628125939,0.8954476774905162,0.15160118876337214,False
baseline,balanced_10,critical,results.1 vs results.2,2384,2384,0.05453020134228188,0.0016652040569777407,26.025747595278208,3.739294387153639,0.24430938118979004,False
baseline,balanced_10,critical,results.1 vs results.3,2384,2384,0.01761744966442953,0.8532820832513218,-0.5902877551575828,-1.2986191944247207,-0.014153510305473958,True
baseline,balanced_10,critical,results.2 vs results.3,2384,2384,0.057885906040268456,0.0006769609139531583,-21.119521890011793,-4.856321427035097,-0.25018482439399337,False
baseline,balanced_10,sheddable,results.1 vs results.2,2416,2416,0.04966887417218543,0.005152176843319101,22.856050297498097,3.534379116963154,0.23625943213125866,False
baseline,balanced_10,sheddable,results.1 vs results.3,2416,2416,0.023178807947019868,0.5351351586275475,-1.0751911858314753,-1.523681311956902,-0.02599147814415965,True
baseline,balanced_10,sheddable,results.2 vs results.3,2416,2416,0.061258278145695365,0.00023012745743087657,-19.479090712569423,-4.885392149023223,-0.2478448303473539,False
baseline,balanced_15,critical,results.1 vs results.2,3632,3633,0.0937831563579571,2.1849684318357257e-14,1.8868206962384604,1.7007630578186823,0.04239433970628698,True
baseline,balanced_15,critical,results.1 vs results.3,3632,3632,0.08067180616740088,1.0615375516571807e-10,-6.38586220525284,-6.622457582373628,-0.160475765206595,True
baseline,balanced_15,critical,results.2 vs results.3,3633,3632,0.12296863310015509,2.000837771426952e-24,-8.119482819230532,-8.184029686641006,-0.18786501869096156,False
baseline,balanced_15,sheddable,results.1 vs results.2,3667,3666,0.06742267590314287,1.0984195036809117e-07,-0.6103601160361477,-4.026890084297193,-0.011524358376074769,True
baseline,balanced_15,sheddable,results.1 vs results.3,3667,3667,0.08753749659121898,1.2122526620490367e-12,-7.05615128278286,-7.853605120850085,-0.13630163766244505,True
baseline,balanced_15,sheddable,results.2 vs results.3,3666,3667,0.1039365414035415,1.0784456141847182e-17,-6.4853753110204355,-3.9872783531908635,-0.12377274892250575,False
control,balanced_5,critical,results.1 vs results.2,1135,1135,0.04581497797356828,0.18455724756468053,2.1607484303845363,2.035386154825789,0.07789241416258197,True
control,balanced_5,critical,results.1 vs results.3,1135,1135,0.08986784140969163,0.00020722656470188944,-2.2277740786437774,-2.760847812244152,-0.07876314487575997,True
control,balanced_5,critical,results.2 vs results.3,1135,1135,0.11541850220264317,5.282358900885159e-07,-4.295703170204149,-4.700559431207781,-0.1531528565716567,False
control,balanced_5,sheddable,results.1 vs results.2,1165,1165,0.05150214592274678,0.09098013284261489,1.632268695128219,2.1670588772875843,0.05327454529460016,True
control,balanced_5,sheddable,results.1 vs results.3,1165,1165,0.07639484978540773,0.0022212223236229233,-2.9541686663327016,-2.120222074984572,-0.09641466697818109,True
control,balanced_5,sheddable,results.2 vs results.3,1165,1165,0.10214592274678111,1.035334086710821e-05,-4.512776719782871,-4.196343713311344,-0.14861001854927303,False
control,balanced_8,critical,results.1 vs results.2,1877,1877,0.03516249334043687,0.19624727522955696,-4.248233636530234,-1.1964947758678723,-0.08715693437154054,True
control,balanced_8,critical,results.1 vs results.3,1877,1877,0.019179541822056473,0.8804359183510235,-2.0497302995145006,-0.643186158858553,-0.04025785860538767,True
control,balanced_8,critical,results.2 vs results.3,1877,1877,0.042621204049014386,0.06609191090712196,2.2960446793955795,0.5600090965944566,0.05961358136503743,True
control,balanced_8,sheddable,results.1 vs results.2,1923,1923,0.03848153926157046,0.11594464035277156,-5.68685722155081,-2.286468767073389,-0.11032321888941947,True
control,balanced_8,sheddable,results.1 vs results.3,1923,1923,0.028081123244929798,0.4344621814126193,-2.969458719924406,-0.11746494263339163,-0.05431584662304045,True
control,balanced_8,sheddable,results.2 vs results.3,1923,1923,0.0327613104524181,0.2534248776207513,2.881251140161705,2.219757895423501,0.07096504718135106,True
control,balanced_10,critical,results.1 vs results.2,2384,2384,0.05243288590604027,0.002843858092266976,-22.743701087960357,-0.402788197504605,-0.2516540466744834,False
control,balanced_10,critical,results.1 vs results.3,2384,2384,0.047818791946308725,0.008573063405546161,-20.014862502587132,-0.24873810026730886,-0.21486933924877197,False
control,balanced_10,critical,results.2 vs results.3,2384,2384,0.02307046979865772,0.5499164835181725,3.532189120889875,0.15467310223782427,0.06847156741857181,True
control,balanced_10,sheddable,results.1 vs results.2,2416,2416,0.05587748344370861,0.0010566200421145786,-24.453691698495977,-0.8234770443851008,-0.2642438634518851,False
control,balanced_10,sheddable,results.1 vs results.3,2416,2416,0.048013245033112585,0.0076169645006834005,-18.904192899877096,0.1480209702262293,-0.18554345504085315,False
control,balanced_10,sheddable,results.2 vs results.3,2416,2416,0.029387417218543047,0.24779940123295668,7.345823936850662,0.9795645034320378,0.10475404535571804,True
control,balanced_15,critical,results.1 vs results.2,3632,3633,0.12476339622961813,4.483581170728996e-25,-11.903836852033924,-9.780898701291084,-0.2974537428001841,False
control,balanced_15,critical,results.1 vs results.3,3632,3632,0.058645374449339205,7.4763543265883125e-06,-3.802421409078574,-3.166284152010933,-0.09126431574257644,True
control,balanced_15,critical,results.2 vs results.3,3633,3632,0.08633642782569471,2.9203571053573684e-12,9.196104749020947,7.331722943437045,0.2100247621532695,True
control,balanced_15,sheddable,results.1 vs results.2,3666,3667,0.07762826500968295,4.374783784249557e-10,4.861755281009131,13.617414023574756,0.08711251082094372,True
control,balanced_15,sheddable,results.1 vs results.3,3666,3667,0.09889377710194773,4.279360819110874e-16,7.183221539786463,19.1767763154348,0.12656055828185658,True
control,balanced_15,sheddable,results.2 vs results.3,3667,3667,0.06626670302699754,2.0113943856895315e-07,2.2138350178825963,4.8930547659767365,0.04058229594362493,True
treatment,balanced_5,critical,results.1 vs results.2,1135,1135,0.03436123348017621,0.5144466504670959,-0.7771607045458275,-0.7961459299301197,-0.028809325298519744,True
treatment,balanced_5,critical,results.1 vs results.3,1135,1135,0.04052863436123348,0.30895172504605783,19.692545906403247,-0.5021147626263798,0.178723948106672,False
treatment,balanced_5,critical,results.2 vs results.3,1135,1135,0.039647577092511016,0.3344057141403601,20.63003513737072,0.2963908711611741,0.18593488411412445,False
treatment,balanced_5,sheddable,results.1 vs results.2,1165,1165,0.029184549356223177,0.7041784792494327,-0.7613745266300386,-1.269898656664138,-0.025765252269864827,True
treatment,balanced_5,sheddable,results.1 vs results.3,1165,1165,0.030901287553648068,0.6344532329489747,20.799076145233112,-0.14009558134016703,0.18112158291241762,False
treatment,balanced_5,sheddable,results.2 vs results.3,1165,1165,0.030042918454935622,0.669393824964501,21.72586588036606,1.1443349697323402,0.18794741174056792,False
treatment,balanced_8,critical,results.1 vs results.2,1877,1877,0.03303143313798615,0.2574914149823588,-2.186208081170651,-2.294028051617966,-0.06205162000706579,True
treatment,balanced_8,critical,results.1 vs results.3,1877,1877,0.10175812466702185,7.043694990824149e-09,11.062580323043283,8.37717372006317,0.27082908044059184,False
treatment,balanced_8,critical,results.2 vs results.3,1877,1877,0.12519978689397976,3.112265187697325e-13,13.544908283699323,10.921749775252962,0.3323156299328224,False
treatment,balanced_8,sheddable,results.1 vs results.2,1923,1923,0.03536141445657826,0.18049767150913196,-1.4119273051327434,-1.527718346276753,-0.03953995079421569,True
treatment,balanced_8,sheddable,results.1 vs results.3,1923,1923,0.12012480499219969,1.6744430901241671e-12,12.165079609936459,10.625745422762813,0.29716580940492565,False
treatment,balanced_8,sheddable,results.2 vs results.3,1923,1923,0.1315652626105044,6.410537243300202e-15,13.771449774751563,12.342014996440415,0.332835382978654,False
treatment,balanced_10,critical,results.1 vs results.2,2384,2384,0.02097315436241611,0.6709322947604661,0.5099734070226488,0.2149617950823643,0.011312819621561797,True
treatment,balanced_10,critical,results.1 vs results.3,2384,2384,0.037751677852348994,0.06689470957832142,11.098179103365746,2.789583435831269,0.13936230765697388,False
treatment,balanced_10,critical,results.2 vs results.3,2384,2384,0.03355704697986577,0.13646685996385155,10.534482636330395,2.5690990592936034,0.13265497199611134,False
treatment,balanced_10,sheddable,results.1 vs results.2,2416,2416,0.016142384105960264,0.9113814664052078,4.085631732063479,0.9822492493688865,0.054904066968477605,True
treatment,balanced_10,sheddable,results.1 vs results.3,2416,2416,0.04263245033112583,0.024762651610723756,14.409571248124134,3.4827834741634347,0.15230814550010957,False
treatment,balanced_10,sheddable,results.2 vs results.3,2416,2416,0.03228476821192053,0.16113669717824114,9.918698041470767,2.4762116544063573,0.10271037830952959,True
treatment,balanced_15,critical,results.1 vs results.2,3633,3633,0.05835397742912194,8.434153312652969e-06,10.814879573732684,-3.1016653481559997,0.11010666941268701,False
treatment,balanced_15,critical,results.1 vs results.3,3633,3633,0.1285439031103771,1.4510195650348484e-26,-19.22151872815605,-18.113519367014266,-0.23387148572089103,False
treatment,balanced_15,critical,results.2 vs results.3,3633,3633,0.11670795485824388,5.810991103798133e-22,-27.105022734698252,-15.49237566651264,-0.32648799013554386,False
treatment,balanced_15,sheddable,results.1 vs results.2,3667,3667,0.08835560403599672,7.142706651977504e-13,2.4303914688464694,1.8479739015583145,0.05106504741779187,True
treatment,balanced_15,sheddable,results.1 vs results.3,3667,3667,0.08781019907281157,1.0168456774169157e-12,4.237106937888278,5.319813300501219,0.08785631986769624,True
treatment,balanced_15,sheddable,results.2 vs results.3,3667,3667,0.06217616580310881,1.3844187922727825e-06,1.763847080083951,3.408844836028481,0.03682467942867762,True
