execution,workload,slo_class,metric,ks_D,mean_pct_delta,p99_pct_delta,cohens_d
results.1,balanced_5,critical,ttft_ms,0.12246696035242291,5.219896725555062,4.383098752881714,0.1821105448892864
results.1,balanced_5,critical,e2e_ms,0.03788546255506608,-1.549974783760268,-0.42221643110816315,-0.06473338733467135
results.1,balanced_5,critical,tpot_ms,0.1277533039647577,-1.6676792210987617,-1.373225890556345,-0.23967988853735447
results.1,balanced_5,sheddable,ttft_ms,0.11416309012875536,5.887056535324595,6.304952166658359,0.1867242445297124
results.1,balanced_5,sheddable,e2e_ms,0.036051502145922745,-1.5549132167770687,-2.228707862191964,-0.06296114761266158
results.1,balanced_5,sheddable,tpot_ms,0.12103004291845494,-1.695749366713022,-1.2135353107870255,-0.2401413219155355
results.1,balanced_8,critical,ttft_ms,0.02876931273308471,1.7990552901279755,1.397595386453513,0.04933642157797072
results.1,balanced_8,critical,e2e_ms,0.015982951518380393,0.6567549471515577,1.0323128288989316,0.02370413062009587
results.1,balanced_8,critical,tpot_ms,0.03356419818859883,0.6454677737222964,0.49871172223325777,0.049035072473467514
results.1,balanced_8,sheddable,ttft_ms,0.031721268850754034,1.0596034558309557,3.0235212493617327,0.02921830171149342
results.1,balanced_8,sheddable,e2e_ms,0.015600624024960999,0.6458766943451617,0.03134396941416039,0.02308385286456702
results.1,balanced_8,sheddable,tpot_ms,0.03380135205408216,0.6450213605054571,-0.5934203585601494,0.04648619151510343
results.1,balanced_10,critical,ttft_ms,0.01761744966442953,0.3302864024316725,6.38154578724547,0.0075912403205898255
results.1,balanced_10,critical,e2e_ms,0.02097315436241611,-1.0343983301911552,-1.4523991213047232,-0.03472402346621877
results.1,balanced_10,critical,tpot_ms,0.031879194630872486,-1.0550557636788032,-3.6207857812139617,-0.05960267883743388
results.1,balanced_10,sheddable,ttft_ms,0.028973509933774833,7.102225675259019,68.84149177734173,0.12201227558979186
results.1,balanced_10,sheddable,e2e_ms,0.01903973509933775,-0.9502898076656138,-2.1623895945848526,-0.03133467870314992
results.1,balanced_10,sheddable,tpot_ms,0.03352649006622516,-1.1122644215818107,-3.937192710328611,-0.06229826999007363
results.1,balanced_15,critical,ttft_ms,0.5449804835993117,-55.61141961971481,-29.34457972073127,-1.3925872122271747
results.1,balanced_15,critical,e2e_ms,0.5573400370563035,-31.269988111071655,-19.5536757803239,-1.4356671160268264
results.1,balanced_15,critical,tpot_ms,0.6864432405591913,-16.33193111283575,-11.01973336307885,-1.8923770240824171
results.1,balanced_15,sheddable,ttft_ms,0.19170984455958548,16.819893802678635,13.756958883876147,0.3136008912933043
results.1,balanced_15,sheddable,e2e_ms,0.13935096809380965,12.63977776586703,10.508125211315003,0.2774063968040646
