arm,workload,slo_class,metric,cohens_d_max,cohens_d_p90,abs_pct_max
baseline,balanced_5,critical,ttft_ms,0.21533069292873255,0.2069862311677563,6.2104197023008885
baseline,balanced_5,critical,e2e_ms,0.08372181230913424,0.08113320703539433,1.9989908110891421
baseline,balanced_5,critical,tpot_ms,0.3087865429942213,0.299405412384035,2.118156240768666
baseline,balanced_5,sheddable,ttft_ms,0.206778127325974,0.2003878056277095,6.484772548036581
baseline,balanced_5,sheddable,e2e_ms,0.08240969440840254,0.08002977162439126,2.0272898267627637
baseline,balanced_5,sheddable,tpot_ms,0.3103219220465422,0.30136980675041575,2.1630987365943644
baseline,balanced_8,critical,ttft_ms,0.1509292557727412,0.14997616932766317,13.722193870765542
baseline,balanced_8,critical,e2e_ms,0.026135468380565074,0.02386579219172931,0.7169879595569204
baseline,balanced_8,critical,tpot_ms,0.05603927824721858,0.053657449894014636,0.7220866667609843
baseline,balanced_8,sheddable,ttft_ms,0.15160118876337214,0.15108322067110255,13.564221628125939
baseline,balanced_8,sheddable,e2e_ms,0.02613205206246418,0.023693765407690595,0.7241142074472229
baseline,balanced_8,sheddable,tpot_ms,0.054167640383728455,0.05288795682850001,0.7370389255190019
baseline,balanced_10,critical,ttft_ms,0.25018482439399337,0.2490097357531527,26.025747595278208
baseline,balanced_10,critical,e2e_ms,0.09035587199505898,0.08249081901003409,2.688410154334068
baseline,balanced_10,critical,tpot_ms,0.12614027718989262,0.1142636193138657,2.2476932884889713
baseline,balanced_10,sheddable,ttft_ms,0.2478448303473539,0.24552775070413485,22.856050297498097
baseline,balanced_10,sheddable,e2e_ms,0.08626275317099051,0.07833983670509305,2.6070504309645925
baseline,balanced_10,sheddable,tpot_ms,0.12341336803865259,0.11229695910446703,2.215224739364156
baseline,balanced_15,critical,ttft_ms,0.18786501869096156,0.18238716799408825,8.119482819230532
baseline,balanced_15,critical,e2e_ms,0.14784950199232924,0.14408392112543292,3.4647415985110808
baseline,balanced_15,critical,tpot_ms,0.09959345414609988,0.09472250104798174,0.7562509895284456
baseline,balanced_15,sheddable,ttft_ms,0.13630163766244505,0.1337958599144572,7.05615128278286
baseline,balanced_15,sheddable,e2e_ms,0.1441605380804102,0.14084036776759543,6.362145247989377
baseline,balanced_15,sheddable,tpot_ms,0.22597030534096563,0.20520369398161423,2.609453108523606
control,balanced_5,critical,ttft_ms,0.1531528565716567,0.13827491423247734,4.295703170204149
control,balanced_5,critical,e2e_ms,0.09471993001007076,0.08575644332334004,2.317836403914182
control,balanced_5,critical,tpot_ms,0.3342726664185093,0.30107224937685395,2.3953213688458685
control,balanced_5,sheddable,ttft_ms,0.14861001854927303,0.13817094823505463,4.512776719782871
control,balanced_5,sheddable,e2e_ms,0.09489807019694611,0.08543362422763516,2.3842318487368983
control,balanced_5,sheddable,tpot_ms,0.3515084243157697,0.31781024774610667,2.5301370619354366
control,balanced_8,critical,ttft_ms,0.08715693437154054,0.08164826377023993,4.248233636530234
control,balanced_8,critical,e2e_ms,0.04190529991354538,0.03791896445978788,1.145881803386128
control,balanced_8,critical,tpot_ms,0.0837695646869133,0.07582017885528171,1.0747708088198475
control,balanced_8,sheddable,ttft_ms,0.11032321888941947,0.10245158454780579,5.68685722155081
control,balanced_8,sheddable,e2e_ms,0.04094872860793183,0.037081808272997736,1.1304854756386884
control,balanced_8,sheddable,tpot_ms,0.0771817901167017,0.07001246092101049,1.0433982974821148
control,balanced_10,critical,ttft_ms,0.2516540466744834,0.24429710518934108,22.743701087960357
control,balanced_10,critical,e2e_ms,0.07717332301737581,0.06984107784020487,2.375452204696507
control,balanced_10,critical,tpot_ms,0.158309246737353,0.14661802634751714,2.94485204891305
control,balanced_10,sheddable,ttft_ms,0.2642438634518851,0.24850378176967872,24.453691698495977
control,balanced_10,sheddable,e2e_ms,0.0780171721402461,0.07031950437790013,2.437504393223053
control,balanced_10,sheddable,tpot_ms,0.1589148187418394,0.14759665915859319,2.982993115167832
control,balanced_15,critical,ttft_ms,0.2974537428001841,0.2799679466708012,11.903836852033924
control,balanced_15,critical,e2e_ms,0.2090500524400225,0.2011722524368383,4.7560966112519445
control,balanced_15,critical,tpot_ms,0.12123984361195003,0.11449004670613597,0.925999963515054
control,balanced_15,sheddable,ttft_ms,0.12656055828185658,0.11867094878967402,7.183221539786463
control,balanced_15,sheddable,e2e_ms,0.1299798831796552,0.1211963092213805,6.212803490133986
control,balanced_15,sheddable,tpot_ms,0.1274278472443098,0.12354941306455243,1.5310941922444736
treatment,balanced_5,critical,ttft_ms,0.18593488411412445,0.18449269691263395,20.63003513737072
treatment,balanced_5,critical,e2e_ms,0.09278912130170582,0.08813325250253079,2.271482835533632
treatment,balanced_5,critical,tpot_ms,0.26828601544885683,0.2631760459841626,1.8919136994550656
treatment,balanced_5,sheddable,ttft_ms,0.18794741174056792,0.18658224597493786,21.72586588036606
treatment,balanced_5,sheddable,e2e_ms,0.09086270661578909,0.08629132819116583,2.2955657640986002
treatment,balanced_5,sheddable,tpot_ms,0.2667288024303883,0.2619168480756027,1.8992575337395166
treatment,balanced_8,critical,ttft_ms,0.3323156299328224,0.32001832003437625,13.544908283699323
treatment,balanced_8,critical,e2e_ms,0.3598314019040597,0.3536806449187681,10.867000388847151
treatment,balanced_8,critical,tpot_ms,0.6856500289623392,0.6734645959834161,10.813973616571419
treatment,balanced_8,sheddable,ttft_ms,0.332835382978654,0.32570146826390833,13.771449774751563
treatment,balanced_8,sheddable,e2e_ms,0.35727342654092425,0.35129587776735943,10.928332410928293
treatment,balanced_8,sheddable,tpot_ms,0.6538884091029552,0.642443607846672,10.859448415248144
treatment,balanced_10,critical,ttft_ms,0.13936230765697388,0.13802084052480137,11.098179103365746
treatment,balanced_10,critical,e2e_ms,0.0669962951756418,0.061070232928481315,2.0259237059393977
treatment,balanced_10,critical,tpot_ms,0.10387290539948021,0.09389594380550736,1.858689874989857
treatment,balanced_10,sheddable,ttft_ms,0.15230814550010957,0.14238859206199359,14.409571248124134
treatment,balanced_10,sheddable,e2e_ms,0.0659907807044103,0.059603205342905606,2.0319472539406416
treatment,balanced_10,sheddable,tpot_ms,0.09988125702816397,0.09016526662429583,1.8007392057219958
treatment,balanced_15,critical,ttft_ms,0.32648799013554386,0.3079646892526133,27.105022734698252
treatment,balanced_15,critical,e2e_ms,0.3202266521801033,0.3002282282404646,9.89499955445378
treatment,balanced_15,critical,tpot_ms,0.3295197611501781,0.306797089024902,3.7121725595326187
treatment,balanced_15,sheddable,ttft_ms,0.08785631986769624,0.08049806537771537,4.237106937888278
treatment,balanced_15,sheddable,e2e_ms,0.08292508194580618,0.07810270501655969,3.49009742397321
treatment,balanced_15,sheddable,tpot_ms,0.2891650436236783,0.26477084164162845,4.702815505824571
